貨品分類1,貨品分類2,貨品分類3,貨品編號,品牌,貨品名稱,超市代號,價格,優惠
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,海綿蛋糕,P000000190,嘉頓,孖寶蛋糕 - 櫻桃提子 75克,WELLCOME,10.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,海綿蛋糕,P000000190,嘉頓,孖寶蛋糕 - 櫻桃提子 75克,JASONS,10.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,海綿蛋糕,P000002937,嘉頓,超軟蛋糕 - 雲呢拿味 8片,WELLCOME,24.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,海綿蛋糕,P000002937,嘉頓,超軟蛋糕 - 雲呢拿味 8片,JASONS,24.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,雪芳蛋糕,P000000038,嘉頓,雪芳蛋糕 - 朱古力味 60克,WELLCOME,10.00,$14.5任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,雪芳蛋糕,P000000038,嘉頓,雪芳蛋糕 - 朱古力味 60克,JASONS,10.00,$14.5任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,瑞士卷,P000003270,嘉頓,迷你瑞士卷 - 朱古力 56克,WELLCOME,10.00,$15任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,瑞士卷,P000003270,嘉頓,迷你瑞士卷 - 朱古力 56克,JASONS,10.00,$15任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,瑞士卷,P000000643,嘉頓,迷你瑞士卷 - 檸檬 56克,WELLCOME,10.00,$15任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,瑞士卷,P000000643,嘉頓,迷你瑞士卷 - 檸檬 56克,JASONS,10.00,$15任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,朱古力批 / 朱古力蛋糕,P000001706,江戶,朱古力批 (巧克力批) - 士多啤梨味 300克,PARKNSHOP,16.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,急凍/冷凍蛋糕,P000000135,莎莉,蛋糕 - 原味 All Butter All Purpose Pound Cake 300克,WELLCOME,40.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,急凍/冷凍蛋糕,P000000135,莎莉,蛋糕 - 原味 All Butter All Purpose Pound Cake 300克,PARKNSHOP,49.90,買2件慳$29.80
麵包蛋糕 / 穀類早餐 / 麵包醬,蛋糕,急凍/冷凍蛋糕,P000000135,莎莉,蛋糕 - 原味 All Butter All Purpose Pound Cake 300克,JASONS,40.50,
